,0,1,2,3,4
122,150,200,No,'2019-06-04 18:00','2019-06-28 18:00'
74,150,200,No,'2019-06-04 18:00','2019-06-24 18:00'
33,80,130,No,'2019-06-05','2019-06-28'
44,150,200,No,'2019-06-05','2019-06-28'
56,100,150,Si,'2019-07-01','2019-07-25'
211,150,200,No,'2019-06-25','2019-06-25'
237,150,150,No,'2019-06-05','2019-06-25'
253,150,200,No,'2019-06-13','2019-07-03'
81,150,200,No,'2019-06-06 18:00','2019-06-26 18:00'
128,100,150,No,'2019-06-06 18:00','2019-06-26 18:00'
133,200,200,No,'2019-06-06 18:00','2019-06-26 18:00'
146,150,200,No,'2019-06-06 18:00','2019-06-26 18:00'
173,80,150,No,'2019-06-06 18:00','2019-06-26 18:00'
178,100,80,No,'2019-06-06 18:00','2019-06-26 18:00'
227,50,50,No,'2019-07-26','2019-08-15'
73,80,200,No,'2019-06-07 18:00','2019-06-27 18:00'
75,80,200,No,'2019-06-07 18:00','2019-06-27 18:00'
113,80,25,No,'2019-08-16','2019-09-05'
121,100,200,No,'2019-06-07 18:00','2019-06-27 18:00'
151,100,150,No,'2019-06-07 18:00','2019-06-27 18:00'
170,100,150,No,'2019-06-07 18:00','2019-06-27 18:00'
195,150,200,No,'2019-06-07 18:00','2019-06-27 18:00'
10,150,200,No,'2019-07-26','2019-08-15'
28,100,200,No,'2017-09-23','2017-10-23 12:00'
61,100,150,No,'2019-07-26','2019-08-15'
104,80,150,No,'2019-06-10','2019-06-30'
105,200,200,No,'2019-06-10','2019-06-30'
224,70,200,No,'2019-06-11','2019-07-01'
107,350,350,No,2019-07-01,2019-07-20
247,100,100,No,'2019-06-11','2019-07-01'
2,200,200,No,'2019-06-12','2019-07-02'
11,100,150,No,'2019-06-12','2019-07-02'
96,100,100,Si,'2019-06-12','2019-07-02'
37,100,150,No,'2019-06-12','2019-07-02'
201,100,150,No,'2019-06-12','2019-07-02'
210,100,150,No,'2019-06-12','2019-06-02'
222,70,110,No,'2019-06-12','2019-07-02'
9,100,150,No,'2019-06-13','2019-07-03'
63,100,150,No,'2019-07-13','2019-08-03'
64,100,150,No,'2019-06-13','2019-07-03'
108,60,130,No,'2019-06-13','2019-07-03'
192,200,200,No,'2019-06-13','2019-07-03'
200,200,200,No,'2019-06-13','2019-07-03'
12,80,150,No,'2019-06-14','2019-07-04'
15,10,150,No,'2019-06-20','2019-07-10'
26,100,100,No,'2019-07-24','2019-08-14'
189,100,200,No,'2019-06-14','2019-07-04'
99,200,200,No,'2019-07-14','2019-08-04'
163,50,50,Si,2019-09-14,2019-10-02
231,200,200,Si,'2019-07-14','2019-08-04'
102,50,130,No,2019-07-14,2019-08-04
137,200,200,No,'2019-06-26','2019-07-16'
152,200,200,No,'2019-07-26','2019-08-14'
156,200,200,No,'2019-07-26','2019-08-14'
239,80,100,No,'2019-07-07','2019-07-27'
129,200,200,No,'2019-06-12','2019-07-02'
124,300,300,No,'2019-06-14','2019-07-04'
34,250,300,No,'2019-08-28','2019-09-15'
39,30,30,Si,'2019-08-28','2019-09-15'
95,350,350,No,'2019-08-28','2019-09-15'
101,300,300,No,'2019-08-28','2019-09-15'
1,150,250,No,2019-08-28,2019-09-15
13,50,250,No,2019-11-01,2019-11-20
88,50,50,No,'2019-08-28','2019-09-15'
143,40,50,No,'2019-08-28','2019-09-15'
198,50,20,Si,'2019-08-28','2019-09-15'
212,50,50,Si,2019-09-12,2019-10-02
213,50,50,No,2019-08-28,2019-09-18
223,40,17,No,'2019-08-28','2019-09-15'
225,20,20,No,'2019-08-28','2019-09-15'
230,20,25,No,'2019-08-28','2019-09-15'
255,100,350,No,2019-12-16,2020-01-05
254,20,25,Si,'2017-12-03 08:00','2017-12-28 11:00'
256,999,999,No,2019-07-01,2019-07-20
268,350,350,No,2019-07-01,2019-07-20
269,20,20,Si,'2018-09-13 00:00','2018-10-03 16:00'
34,20,20,No,'2019-08-28','2019-09-15'
101,20,20,Si,'2019-08-28','2019-09-15'
112,50,100,No,2019-10-15,2019-11-04
130,15,50,No,2019-08-28,2019-09-15
136,20,20,No,'2019-08-28','2019-09-15'
185,50,50,No,2019-09-17,2019-10-07
18,50,50,Si,2019-08-28,2019-09-18
229,50,50,No,2019-09-06,2019-09-27
250,50,50,No,2019-09-06,2019-09-27
220,50,9999,No,'2017-12-03 08:00','2017-12-28 11:20'
182,50,50,Si,2019-09-09,2019-09-29
153,50,250,No,2019-11-05,2019-11-25
181,250,250,No,2019-12-01,2019-12-18
240,35,35,No,2019-09-10,2019-09-30
41,250,250,No,2019-11-26,2019-12-16
32,50,30,Si,2019-10-01,2019-10-21
79,50,50,Si,2019-10-01,2019-10-21
87,50,50,No,2019-09-12,2019-09-30
150,20,20,Si,2019-09-12,2019-09-30
228,30,40,Si,'2019-09-05','2019-09-25'
193,50,50,No,'2019-09-05','2019-09-25'
4,50,50,Si,2019-10-01,2019-10-21
43,250,250,No,2019-09-19,2019-10-06
67,50,50,No,2019-09-19,2019-10-06
90,150,250,No,2019-11-05,2019-11-25
109,50,50,No,2019-09-19,2019-10-06
131,50,50,No,2019-09-19,2019-10-06
145,250,250,No,2019-09-19,2019-10-06
234,250,250,No,2019-09-19,2019-10-06
19,250,50,No,2019-12-06,2019-12-26
117,9999,9999,No,2019-12-02,2019-12-22
85,250,250,No,2019-09-23,2019-10-13
91,50,50,Si,2019-10-01,2019-10-21
188,250,250,No,2019-09-23,2019-10-13
209,250,250,No,2019-09-23,2019-10-13
54,20,20,No,2019-09-28,2019-10-15
69,20,50,Si,2019-10-01,2019-10-21
70,50,50,No,2019-09-28,2019-10-15
135,50,50,Si,2019-09-28,2019-10-15
140,20,50,Si,2019-09-28,2019-10-15
161,50,50,Si,2019-10-08,2019-10-28
171,12,15,Si,2019-10-01,2019-10-21
172,50,50,Si,2019-10-01,2019-10-21
183,50,50,Si,2019-10-01,2019-10-21
187,250,250,Si,2019-10-01,2019-10-21
207,50,50,Si,2019-10-01,2019-10-21
218,250,250,No,2019-10-30,2019-11-13
36,20,30,Si,2019-10-01,2019-10-21
144,20,20,No,2019-10-01,2019-10-21
148,50,50,Si,2019-10-01,2019-10-21
180,250,250,No,2019-10-23,2019-11-12
20,20,20,Si,2019-10-01,2019-10-21
204,20,50,Si,2019-10-01,2019-10-21
42,50,150,No,2019-11-05,2019-11-25
22,250,250,No,2019-10-15,2019-11-04
31,250,350,No,2019-11-14,2019-12-04
47,250,250,No,2019-10-15,2019-11-04
50,40,250,No,2019-10-15,2019-11-04
51,250,250,No,2019-10-15,2019-11-04
59,250,250,No,2019-10-15,2019-11-04
62,50,100,No,2019-10-15,2019-11-04
118,50,100,No,2019-10-15,2019-11-04
197,250,250,No,2019-11-05,2019-11-25
217,250,250,No,2019-11-05,2019-11-25
115,350,350,No,2019-10-24,2019-11-12
139,150,250,No,2019-10-24,2019-11-12
141,150,250,No,2019-10-24,2019-11-12
175,50,50,No,2019-10-24,2019-11-12
199,150,150,No,2019-10-24,2019-11-12
214,150,150,No,2019-11-27,2019-12-17
236,250,250,No,2019-11-05,2019-11-25
16,50,50,No,2019-11-05,2019-11-25
24,100,100,No,2019-10-26,2019-11-15
125,350,350,No,2019-10-26,2019-11-15
29,50,350,No,2019-10-29,2019-11-18
252,250,250,No,2019-10-27,2019-11-16
110,50,50,Si,2019-12-28,2020-01-17
177,250,250,No,2019-10-29,2019-11-18
77,150,150,No,2019-11-05,2019-11-25
119,50,50,No,2019-11-05,2019-11-25
167,250,250,No,2019-11-05,2019-11-25
169,50,150,No,2019-11-05,2019-11-25
100,250,250,No,2019-12-18,2020-01-04
46,250,250,No,2019-11-08,2019-11-28
114,50,100,No,2019-11-08,2019-11-28
116,350,350,No,2019-11-08,2019-11-28
147,350,350,No,2019-11-08,2019-11-28
165,350,350,No,2019-11-08,2019-11-28
191,50,50,No,2019-11-08,2019-11-28
226,50,50,No,2019-11-08,2019-11-28
68,350,350,No,2019-11-15,2019-12-04
142,250,250,No,2019-11-15,2019-12-04
154,100,50,No,2019-11-15,2019-12-04
57,150,350,No,2019-11-27,2019-12-17
5,50,50,No,2019-11-27,2019-12-17
190,350,350,No,2019-11-25,2019-12-11
205,350,350,No,2019-11-25,2019-12-11
45,200,350,No,2019-11-25,2019-12-11
206,350,350,No,2019-11-26,2019-12-12 11:00
23,350,350,No,2019-12-02,2019-12-22
52,350,350,No,2019-12-02,2019-12-22
126,50,250,No,2019-12-02,2019-12-22
246,150,250,Si,2019-12-18,2020-01-07
92,250,250,No,2019-12-04,2019-12-24
248,50,250,No,2019-12-04,2019-12-24
35,250,250,No,2019-12-12,2020-01-01
241,250,250,No,2019-11-27,2019-12-17
25,250,250,No,2019-11-27,2019-12-17
245,200,200,No,2019-12-06,2019-12-26
149,150,150,No,2019-12-06,2019-12-26
71,250,250,No,2019-12-12,2020-01-01
30,250,250,Si,2020-01-01,2020-01-17
219,9999,9999,No,2019-12-23,2020-01-13
166,100,100,No,2019-12-23,2020-01-13
233,250,250,No,2020-01-06,2020-01-23
196,250,250,Si,2019-12-28,2020-01-17
72,100,150,Si,2019-12-28,2020-01-17
111,350,350,No,2019-12-11,2019-12-31
157,150,150,No,2019-12-11,2019-12-31
14,100,100,Si,2019-12-10,2019-12-30
17,100,200,No,2019-12-10,2019-12-30
158,350,350,No,2019-12-10,2019-12-30
176,100,200,No,2019-12-10,2019-12-30
3,100,200,No,2019-12-10,2019-12-30
134,350,350,No,2019-12-16,2020-01-05
194,150,150,No,2019-12-23,2020-01-12
242,100,200,No,2019-12-16,2020-01-05
243,250,250,No,2020-01-08,2020-01-23
238,350,350,Si,2019-12-30,2020-01-17
89,150,250,No,2020-01-06,2020-01-23
49,250,250,No,2020-01-02,2020-01-22
55,250,250,No,2020-01-16,2020-01-27
